c.name,r.score,b.type,n.lat,n.lon,n.name
Rishav,0.008984165,family,13.058650973939317,80.26457475881958,KFC Restaurant
Rishav,0.008984165,family,13.061330690880306,80.26137915509521,KFC
Rishav,0.008984165,family,13.08576637764831,80.24787680796085,KFC
Rishav,0.008984165,family,13.05685,80.256981,KFC
Rishav,0.008984165,family,13.046952003255814,80.27284357240937,Kfc
Rishav,0.008984165,family,13.04435630902911,80.27584279105027,KFC
Rishav,0.008984165,family,13.04414233393209,80.27361107767902,KFC
Rishav,0.008984165,family,13.06199797486371,80.24546467049578,KFC
Rishav,0.008984165,family,13.02997975435598,80.27688503265381,KFC
Rishav,0.008984165,family,13.07231753850145,80.22767372118804,KFC
Rishav,0.008984165,family,13.02646792182073,80.26821117656334,KFC Santhome
Rishav,0.008984165,family,13.040156917858468,80.2416693628436,KFC
Rishav,0.008984165,family,13.07403400633565,80.22133952749746,KFC
Rishav,0.008984165,family,13.116888222462073,80.22796154022217,KFC Perambur
Rishav,0.012852868,family,13.058650973939317,80.26457475881958,KFC Restaurant
Rishav,0.012852868,family,13.061330690880306,80.26137915509521,KFC
Rishav,0.012852868,family,13.08576637764831,80.24787680796085,KFC
Rishav,0.012852868,family,13.05685,80.256981,KFC
Rishav,0.012852868,family,13.046952003255814,80.27284357240937,Kfc
Rishav,0.012852868,family,13.04435630902911,80.27584279105027,KFC
Rishav,0.012852868,family,13.04414233393209,80.27361107767902,KFC
Rishav,0.012852868,family,13.06199797486371,80.24546467049578,KFC
Rishav,0.012852868,family,13.02997975435598,80.27688503265381,KFC
Rishav,0.012852868,family,13.07231753850145,80.22767372118804,KFC
Rishav,0.012852868,family,13.02646792182073,80.26821117656334,KFC Santhome
Rishav,0.012852868,family,13.040156917858468,80.2416693628436,KFC
Rishav,0.012852868,family,13.07403400633565,80.22133952749746,KFC
Rishav,0.012852868,family,13.116888222462073,80.22796154022217,KFC Perambur
Rishav,0.016008804,family,13.058650973939317,80.26457475881958,KFC Restaurant
